,close,end_date,flag,time,code,open,high,low,volume,money,spot,date,ttm_days,base_sprd
1,5790.0,2018-09-21,3,2018-04-04,IC1809.CCFX,5865.0,5900.0,5777.2,289.0,337992320.0,6017.69,2018-04-04,170,-227.6899999999996
0,5981.8,2018-04-20,0,2018-04-09,IC1804.CCFX,5986.4,6049.0,5919.2,10941.0,13112229200.0,6025.65,2018-04-09,11,-43.849999999999454
3,5937.0,2018-05-18,1,2018-04-09,IC1805.CCFX,5932.0,6004.0,5887.2,533.0,633763000.0,6025.65,2018-04-09,39,-88.64999999999964
2,5891.8,2018-06-15,2,2018-04-09,IC1806.CCFX,5900.0,5966.6,5843.4,1326.0,1567156160.0,6025.65,2018-04-09,67,-133.84999999999945
1,5784.4,2018-09-21,3,2018-04-09,IC1809.CCFX,5805.0,5855.4,5750.0,304.0,353260760.0,6025.65,2018-04-09,165,-241.25
0,6048.0,2018-04-20,0,2018-04-10,IC1804.CCFX,6000.0,6050.0,5950.6,12088.0,14504757840.0,6063.74,2018-04-10,10,-15.739999999999782
3,6001.2,2018-05-18,1,2018-04-10,IC1805.CCFX,5945.0,6008.8,5917.2,628.0,748402360.0,6063.74,2018-04-10,38,-62.539999999999964
2,5959.2,2018-06-15,2,2018-04-10,IC1806.CCFX,5915.0,5959.8,5873.4,1409.0,1668371760.0,6063.74,2018-04-10,66,-104.53999999999996
1,5840.4,2018-09-21,3,2018-04-10,IC1809.CCFX,5790.0,5840.4,5760.2,373.0,433211160.0,6063.74,2018-04-10,164,-223.34000000000015
0,6055.0,2018-04-20,0,2018-04-11,IC1804.CCFX,6078.6,6098.4,6047.4,9679.0,11753948280.0,6086.61,2018-04-11,9,-31.609999999999673
3,6011.6,2018-05-18,1,2018-04-11,IC1805.CCFX,6030.0,6054.6,6005.0,623.0,751602600.0,6086.61,2018-04-11,37,-75.00999999999931
2,5965.4,2018-06-15,2,2018-04-11,IC1806.CCFX,5992.2,6015.0,5957.4,1388.0,1662051720.0,6086.61,2018-04-11,65,-121.21000000000004
1,5846.2,2018-09-21,3,2018-04-11,IC1809.CCFX,5849.8,5906.0,5842.8,462.0,542674560.0,6086.61,2018-04-11,163,-240.40999999999985
0,6022.8,2018-04-20,0,2018-04-12,IC1804.CCFX,6047.4,6083.8,6003.2,9205.0,11127404040.0,6051.33,2018-04-12,8,-28.529999999999745
3,5982.0,2018-05-18,1,2018-04-12,IC1805.CCFX,6011.6,6039.8,5962.4,901.0,1081838880.0,6051.33,2018-04-12,36,-69.32999999999993
2,5938.2,2018-06-15,2,2018-04-12,IC1806.CCFX,5973.6,5998.2,5917.2,963.0,1147394920.0,6051.33,2018-04-12,64,-113.13000000000011
1,5823.6,2018-09-21,3,2018-04-12,IC1809.CCFX,5854.2,5876.0,5805.0,309.0,360976400.0,6051.33,2018-04-12,162,-227.72999999999956
0,6010.0,2018-04-20,0,2018-04-13,IC1804.CCFX,6060.2,6080.0,5982.6,10134.0,12217047400.0,6027.19,2018-04-13,7,-17.1899999999996
3,5958.0,2018-05-18,1,2018-04-13,IC1805.CCFX,6000.0,6037.0,5940.0,1296.0,1551459840.0,6027.19,2018-04-13,35,-69.1899999999996
2,5919.4,2018-06-15,2,2018-04-13,IC1806.CCFX,5972.2,5995.0,5901.2,1124.0,1336482520.0,6027.19,2018-04-13,63,-107.78999999999996
1,5810.0,2018-09-21,3,2018-04-13,IC1809.CCFX,5863.0,5873.6,5785.0,219.0,255280320.0,6027.19,2018-04-13,161,-217.1899999999996
0,5989.0,2018-04-20,0,2018-04-16,IC1804.CCFX,6018.8,6052.2,5934.0,10370.0,12437450680.0,6012.41,2018-04-16,4,-23.409999999999854
3,5942.6,2018-05-18,1,2018-04-16,IC1805.CCFX,5994.4,6005.0,5891.4,1998.0,2378532880.0,6012.41,2018-04-16,32,-69.80999999999949
2,5896.2,2018-06-15,2,2018-04-16,IC1806.CCFX,5950.6,5969.0,5845.2,1223.0,1445696480.0,6012.41,2018-04-16,60,-116.21000000000004
1,5777.0,2018-09-21,3,2018-04-16,IC1809.CCFX,5793.2,5850.0,5734.8,282.0,326854160.0,6012.41,2018-04-16,158,-235.40999999999985
0,5888.0,2018-04-20,0,2018-04-17,IC1804.CCFX,6008.8,6028.8,5856.4,12000.0,14259454000.0,5890.86,2018-04-17,3,-2.8599999999996726
3,5839.2,2018-05-18,1,2018-04-17,IC1805.CCFX,5949.4,5982.0,5810.8,3648.0,4294663960.0,5890.86,2018-04-17,31,-51.659999999999854
2,5782.8,2018-06-15,2,2018-04-17,IC1806.CCFX,5896.2,5944.4,5763.2,1605.0,1875624000.0,5890.86,2018-04-17,59,-108.05999999999949
1,5674.8,2018-09-21,3,2018-04-17,IC1809.CCFX,5795.4,5822.6,5651.4,312.0,357976960.0,5890.86,2018-04-17,157,-216.0599999999995
0,5951.0,2018-04-20,0,2018-04-18,IC1804.CCFX,5936.6,5996.2,5812.2,13007.0,15352914120.0,5970.66,2018-04-18,2,-19.659999999999854
3,5906.2,2018-05-18,1,2018-04-18,IC1805.CCFX,5861.0,5949.0,5762.8,6906.0,8092723840.0,5970.66,2018-04-18,30,-64.46000000000004
2,5859.6,2018-06-15,2,2018-04-18,IC1806.CCFX,5841.0,5898.8,5720.0,1928.0,2240530920.0,5970.66,2018-04-18,58,-111.05999999999949
1,5735.2,2018-09-21,3,2018-04-18,IC1809.CCFX,5728.8,5786.6,5610.0,428.0,487634400.0,5970.66,2018-04-18,156,-235.46000000000004
0,6000.0,2018-04-20,0,2018-04-19,IC1804.CCFX,5965.0,6064.2,5960.8,9371.0,11264538840.0,6004.73,2018-04-19,1,-4.729999999999563
3,5950.0,2018-05-18,1,2018-04-19,IC1805.CCFX,5915.2,6018.8,5912.2,8722.0,10409011400.0,6004.73,2018-04-19,29,-54.72999999999956
2,5900.8,2018-06-15,2,2018-04-19,IC1806.CCFX,5890.0,5965.0,5854.8,1513.0,1790547320.0,6004.73,2018-04-19,57,-103.92999999999938
1,5795.0,2018-09-21,3,2018-04-19,IC1809.CCFX,5758.8,5849.0,5748.4,334.0,387723040.0,6004.73,2018-04-19,155,-209.72999999999956
0,5908.0,2018-04-20,0,2018-04-20,IC1804.CCFX,5987.0,6000.0,5892.4,4497.0,5356523520.0,5880.84,2018-04-20,0,27.159999999999854
3,5837.0,2018-05-18,1,2018-04-20,IC1805.CCFX,5939.8,5950.4,5802.0,12024.0,14143990480.0,5880.84,2018-04-20,28,-43.840000000000146
2,5795.0,2018-06-15,2,2018-04-20,IC1806.CCFX,5915.0,5915.0,5757.2,1968.0,2296078720.0,5880.84,2018-04-20,56,-85.84000000000015
1,5684.8,2018-09-21,3,2018-04-20,IC1809.CCFX,5775.0,5795.0,5656.8,350.0,400480680.0,5880.84,2018-04-20,154,-196.03999999999996
3,5779.2,2018-05-18,0,2018-04-23,IC1805.CCFX,5852.2,5881.6,5692.0,11262.0,13036479600.0,5823.92,2018-04-23,25,-44.720000000000255
2,5732.2,2018-06-15,1,2018-04-23,IC1806.CCFX,5777.0,5835.2,5653.2,1750.0,2008355120.0,5823.92,2018-04-23,53,-91.72000000000025
1,5630.0,2018-09-21,2,2018-04-23,IC1809.CCFX,5697.2,5729.2,5551.2,485.0,546084160.0,5823.92,2018-04-23,151,-193.92000000000007
0,5551.8,2018-12-21,3,2018-04-23,IC1812.CCFX,5630.4,5644.2,5478.2,135.0,150057320.0,5823.92,2018-04-23,242,-272.1199999999999
3,5913.2,2018-05-18,0,2018-04-24,IC1805.CCFX,5781.4,5935.8,5781.4,11338.0,13331301200.0,5957.19,2018-04-24,24,-43.98999999999978
2,5868.8,2018-06-15,1,2018-04-24,IC1806.CCFX,5735.2,5891.8,5735.2,1613.0,1882175960.0,5957.19,2018-04-24,52,-88.38999999999942
1,5755.0,2018-09-21,2,2018-04-24,IC1809.CCFX,5649.6,5777.6,5639.0,338.0,386633720.0,5957.19,2018-04-24,150,-202.1899999999996
0,5681.2,2018-12-21,3,2018-04-24,IC1812.CCFX,5558.6,5699.8,5558.6,84.0,94905920.0,5957.19,2018-04-24,241,-275.9899999999998
3,5913.0,2018-05-18,0,2018-04-25,IC1805.CCFX,5895.0,5933.0,5882.2,8883.0,10499388320.0,5959.42,2018-04-25,23,-46.42000000000007
2,5867.4,2018-06-15,1,2018-04-25,IC1806.CCFX,5859.8,5895.8,5845.0,1356.0,1592251680.0,5959.42,2018-04-25,51,-92.02000000000044
1,5752.8,2018-09-21,2,2018-04-25,IC1809.CCFX,5745.8,5775.2,5736.0,272.0,313134280.0,5959.42,2018-04-25,149,-206.6199999999999
0,5669.8,2018-12-21,3,2018-04-25,IC1812.CCFX,5667.2,5695.4,5656.2,77.0,87415920.0,5959.42,2018-04-25,240,-289.6199999999999
3,5806.4,2018-05-18,0,2018-04-26,IC1805.CCFX,5908.0,5928.4,5796.0,10446.0,12224165840.0,5847.98,2018-04-26,22,-41.57999999999993
